"id_post","Правильный адрес","Оценка"
"32692","Петергофское шоссе, 3","8,5"
"32645","Большевиков проспект, 32а","8,5"
"32600","Чкаловский проспект, 50","5"
"32425","Фёдора Абрамова, 8","8,5"
"32314","Лётчика Пилютова, 40","8"
"32253","Ветеранов проспект, 78","5"
"32208","Кантемировская, 26Б","8"
"32052","Заставская, 28","8"
"32012","Сытнинская площадь, 4","7"
"31885","Невский проспект, 85","3"
"31860","Большевиков проспект, 18 лит А","4"
"31836","Лиговский проспект, 65","6"
"31784","Просвещения проспект, 3а","8"
"31768","Ленинградская, 7","6"
"31719","Выборгское шоссе, 11","6"
"31576","Белы Куна, 23а","7,5"
"31345","Рубинштейна, 4","5"
"31251","Будапештская, 94","9"
"31193","Просвещения проспект, 3а","9"
"31117","Муринский 2-й проспект, 3а","6"
"31057","Кронверкский проспект, 21","7"
"30954","Рубинштейна, 40/11","7"
"30938","Всеволожский проспект, 72","8"
"30914","Большая Московская, 1","7,5"
"30799","Обуховской Обороны проспект, 120 лит Ш","9"
"30652","Димитрова, 18 к1","7"
"30637","Светлановский проспект, 54д/2","8"
"30592","Торфяная дорога, 2 к1","6"
"30565","Лиговский проспект, 68","6,5"
"30530","Авиаконструкторов проспект, 9а","1"
"30501","Лиговский проспект, 161 лит Б","8,5"
"30347","Финский переулок, 9","6"
"30285","Ланское шоссе, 43","8"
"30125","Жуковского, 11","8"
"30080","Просвещения проспект, 87","8"
"30064","Стачек проспект, 90","6,5"
"29975","Шевченко, 29","6,5"
"29945","Типанова, 5","7"
"29763","Димитрова, 16д киоск","5"
"29698","Новаторов бульвар, 102 к3","6,5"
"29678","Елизарова проспект, 15","8,5"
"29661","Генерала Симоняка, 4 к1","3"
"29639","Стачек проспект, 75","7"
"29161","Туристская, 15б","8"
"29059","Новаторов бульвар, 17","4"
"29027","Тимуровская, 21","9"
"29006","Решетникова, 12","6"
"28891","Шлиссельбургский проспект, 13","8"
"28863","Съезжинская, 4","7,5"
"28834","Садовая, 28/30 к1","8"
"28726","Шевченко, 29","7,5"
"28685","Пионерская, 21","3"
"28630","Новочеркасский проспект, 39/2","8"
"28589","Клинский проспект, 22","7"
"28544","Димитрова, 18 к1","7"
